title,cuisine,ingredients,clean_ings_str,url,img_src
Tembleque Puerto Rican Coconut Pudding,Cuisine,"2 (14 ounce) cans coconut milk, ¾ cup sugar, ¼ teaspoon kosher salt, ½ cup cornstarch, 1 pinch ground cinnamon",can coconut milk sugar kosher salt cornstarch ground cinnamon,https://www.allrecipes.com/recipe/238693/tembleque-puerto-rican-coconut-pudding/,https://www.allrecipes.com/thmb/r4w03hJwGeUhmJBUGmIzdCMK4CA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5412888-tembleque-puerto-rican-coconut-pudding-Cindylee-Bloomer-4x3-1-dcdbed803c984abe99c4db33846c3811.jpg
Oatmeal Chocolate Coconut Macaroons,Desserts,"2 cups quick-cooking oats, 1 cup shredded coconut, ¼ cup unsweetened cocoa powder, 2 cups white sugar, ½ cup butter, ½ cup milk",cup quick cooking oat shredded coconut unsweetened cocoa powder cup white sugar butter milk,https://www.allrecipes.com/recipe/230280/oatmeal-chocolate-coconut-macaroons/,https://www.allrecipes.com/thmb/oyH9PKzDRB7F3u840aRMRvvZUBE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2953418-efca235071dd4eebbbdf594177c848c0.jpg
No-Bake Chocolate Coconut Cookies,Desserts,"3 cups quick cooking oats, 1 cup sweetened flaked coconut, 2 cups white sugar, ½ cup unsweetened cocoa powder, ½ cup milk, ½ cup margarine",cup quick cooking oat sweetened flaked coconut cup white sugar unsweetened cocoa powder milk margarine,https://www.allrecipes.com/recipe/231731/no-bake-chocolate-coconut-cookies/,https://www.allrecipes.com/thmb/gQ9KFZTm1XAhzY0LmBl0Jyl3fP0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1001473-71407d83ebf64a7e8cdbc67c4352a80f.jpg
Irish Potato Candy,Cuisine,"4 ounces cream cheese, softened, ¼ cup butter, softened, 4 cups confectioners' sugar, 1 teaspoon vanilla extract, 2 ½ cups flaked coconut, 1 tablespoon ground cinnamon",ounce cream cheese softened butter softened cup confectioner sugar vanilla extract cup flaked coconut ground cinnamon,https://www.allrecipes.com/recipe/16520/irish-potato-candy/,https://www.allrecipes.com/thmb/rXw3vwFLwWgAdR3G1pirRanzy_o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4519478-irish-potato-candy-ReadMyLips26-4x3-1-632402e381a9484bbca56c986163196e.jpg
Incredibly Delicious Italian Cream Cake,Cuisine,"1 cup buttermilk, 1 teaspoon baking soda, ½ cup butter, ½ cup shortening, 2 cups white sugar, 5 large eggs, 1 teaspoon vanilla extract, 1 cup flaked coconut, 1 teaspoon baking powder, 2 cups all-purpose flour",buttermilk baking soda butter shortening cup white sugar egg vanilla extract flaked coconut baking powder cup purpose flour,https://www.allrecipes.com/recipe/7871/incredibly-delicious-italian-cream-cake/,https://www.allrecipes.com/thmb/K6c5zMcr5nq5rb75NlIE_LOGSPs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2556678-incredibly-delicious-italian-cream-cake-Yoly-1x1-2-51735f4035424c1491bb635b26d6d1b1.jpg
Coconut Custard Pie,Desserts,"1 ½ cups white sugar, ½ cup butter, 2 large eggs, 2 tablespoons all-purpose flour, 1 cup milk, 1 cup flaked coconut, 1 teaspoon vanilla extract, 1 (9 inch) unbaked pie crust, 1 tablespoon flaked coconut",cup white sugar butter egg tablespoon purpose flour milk flaked coconut vanilla extract inch unbaked pie crust flaked coconut,https://www.allrecipes.com/recipe/12580/coconut-custard-pie-i/,https://www.allrecipes.com/thmb/C8wyNPQ7ILUI_--YRfoPfRzgiSQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6577978-ffb7030ca14f4faf81ffd10cf9374cf3.jpg
Air Fryer Coconut Shrimp,Appetizers and Snacks,"½ cup all-purpose flour, 1 ½ teaspoons ground black pepper, 2 large eggs, ⅔ cup unsweetened flaked coconut, ⅓ cup panko bread crumbs, 12 ounces uncooked medium shrimp, peeled and deveined,   cooking spray, ½ teaspoon kosher salt, divided, ¼ cup honey, ¼ cup lime juice, 1  serrano chile, thinly sliced, 2 teaspoons chopped fresh cilantro",purpose flour teaspoon ground black pepper egg unsweetened flaked coconut panko bread crumb ounce uncooked shrimp peeled deveined cooking spray kosher salt divided honey lime juice serrano chile thinly teaspoon cilantro,https://www.allrecipes.com/recipe/270712/air-fryer-coconut-shrimp/,https://www.allrecipes.com/thmb/rCfl4Slgz4H2LoOB9-fmU8Ud6OU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6896653-dfeab875c6884a92ae0015a9cfccd069.jpg
Chococonut Chip Cookies,Desserts,"1 cup butter, 1 cup white sugar, ½ cup light brown sugar, 2  eggs, 1 teaspoon vanilla extract, 2 ¼ cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon salt, 2 cups semisweet chocolate chips, 2 cups flaked coconut",butter white sugar light brown sugar egg vanilla extract cup purpose flour baking soda salt cup semisweet chocolate chip cup flaked coconut,https://www.allrecipes.com/recipe/19205/chococonut-chip-cookies/,https://www.allrecipes.com/thmb/hssY-4-6zBmILi5Z6FnSQUcPfgE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1478369-8e637c60e6f54101ab3c705cf97e77f0.jpg
Five Flavor Pound Cake,Desserts,"3 cups all-purpose flour, ½ teaspoon baking powder, 1 cup milk, 1 teaspoon coconut extract, 1 teaspoon rum flavored extract, 1 teaspoon butter flavored extract, 1 teaspoon lemon extract, 1 teaspoon vanilla extract, 3 cups white sugar, 1 cup butter, softened, ½ cup shortening, 5 large eggs, beaten",cup purpose flour baking powder milk coconut extract rum flavored extract butter flavored extract lemon extract vanilla extract cup white sugar butter softened shortening egg beaten,https://www.allrecipes.com/recipe/8072/five-flavor-pound-cake-i/,https://www.allrecipes.com/thmb/CPL-UM4ircL5szxcYmPQT0SHyK0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/659109-2ea48f7a0d364bfeaef57a6198deb119.jpg
Moist Carrot Cake,Desserts,"2 cups all-purpose flour, 2 ½ teaspoons ground cinnamon, 2 teaspoons baking powder, 1 ½ teaspoons baking soda, 1 teaspoon salt, 2 cups white sugar, 1 ½ cups vegetable oil, 4 large eggs, 2 ¾ cups shredded carrots, 1 (8 ounce) can crushed pineapple, drained, 1 cup flaked coconut, ¾ cup chopped walnuts",cup purpose flour teaspoon ground cinnamon teaspoon baking powder teaspoon baking soda salt cup white sugar cup vegetable oil egg cup shredded carrot crushed pineapple drained flaked coconut walnut,https://www.allrecipes.com/recipe/25553/moist-carrot-cake/,https://www.allrecipes.com/thmb/Ak-ltrmc4NGNMe-K3G0LwtyKXWA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3513698-c56d1637a134410e9ff2649c35b37f55.jpg
